,location,total_cases,population
170,Rwanda,130116.0,13276517.0
171,Saint Helena,4.0,6095.0
172,Saint Kitts and Nevis,5757.0,53546.0
173,Saint Lucia,25877.0,184401.0
174,Saint Pierre and Miquelon,2750.0,5771.0
175,Saint Vincent and the Grenadines,10285.0,111269.0
176,Samoa,13499.0,200144.0
177,San Marino,17124.0,34010.0
178,Sao Tome and Principe,5994.0,223364.0
179,Saudi Arabia,769423.0,35340680.0
180,Senegal,86118.0,17196308.0
181,Serbia,2017945.0,6871547.0
182,Seychelles,44094.0,98910.0
183,Sierra Leone,7682.0,8141343.0
184,Singapore,1310616.0,5453600.0
185,Sint Maarten (Dutch part),0.0,43421.0
186,Slovakia,2543754.0,5449270.0
187,Slovenia,1025656.0,2078723.0
188,Solomon Islands,21240.0,703995.0
189,Somalia,26565.0,16359500.0
190,South Africa,3944808.0,60041996.0
191,South Korea,18141834.0,51305184.0
192,South Sudan,17625.0,11381377.0
193,Spain,12445092.0,46745211.0
194,Sri Lanka,663845.0,21497306.0
195,Sudan,62387.0,44909351.0
196,Suriname,80547.0,591798.0
197,Sweden,2509366.0,10160159.0
198,Switzerland,3674986.0,8715494.0
199,Syria,55894.0,18275704.0
200,Taiwan,2198163.0,23855008.0
201,Tajikistan,17786.0,9749625.0
202,Tanzania,35354.0,61498438.0
203,Thailand,4462231.0,69950844.0
204,Timor,22922.0,1343875.0
205,Togo,37110.0,8478242.0
206,Tokelau,0.0,1368.0
207,Tonga,11742.0,106759.0
208,Trinidad and Tobago,162187.0,1403374.0
209,Tunisia,1043445.0,11935764.0
210,Turkey,14249522.0,85042736.0
211,Turkmenistan,0.0,6117933.0
212,Turks and Caicos Islands,6149.0,39226.0
213,Tuvalu,0.0,11925.0
214,Uganda,164471.0,47123533.0
215,Ukraine,5040518.0,43466822.0
216,United Arab Emirates,909222.0,9991083.0
217,United Kingdom,21545812.0,68207114.0
218,United States,84545474.0,332915074.0
219,United States Virgin Islands,0.0,104218.0
220,Uruguay,925798.0,3485152.0
221,Uzbekistan,239059.0,33935765.0
222,Vanuatu,9438.0,314464.0
223,Vatican,29.0,812.0
224,Venezuela,523710.0,28704947.0
225,Vietnam,10722634.0,98168829.0
226,Wallis and Futuna,454.0,11094.0
227,Western Sahara,0.0,611872.0
228,Yemen,11823.0,30490639.0
229,Zambia,321915.0,18920657.0
230,Zimbabwe,253057.0,15092171.0
